event_type,event_timestamp,example_number,prompt_tokens,completion_tokens,total_tokens,llm_text_input,llm_text_output,llm_new_token,llm_name,tool_name,function_name,function_id,parent_function_name,parent_function_id,UUID,framework,NOVA-Event-ID,NOVA-Requests-Remaining-In-Event,NOVA-Time-To-Next-Event,NOVA-Time-To-Event-End,NOVA-Predicted-OSL,NOVA-Time-To-Session-End
FUNCTION_START,1748370705.6055355,0,0,0,0,,,,,,react_agent,a8a24845-5999-45bc-b26c-229e9f05b8f7,root,root,a8a24845-5999-45bc-b26c-229e9f05b8f7,,react_agent,4.0,16.143083572387695,14682.462215423584,,15418.975830078125
LLM_START,1748370705.6216786,0,0,0,0,"[{'content': 'Answer the following questions as best you can. \nYou may communicate and collaborate with various get_attachment_id_by_name_tool: This is a wrapper for the MCP tool that allows you to get the attachment ObjectId for a given attachment_name. . Arguments must be provided as a valid JSON object following this format: {\'attachment_name\': FieldInfo(annotation=str, required=True, description=\'\')}\nupload_files_tool: This is a wrapper for the MCP tool that uploads all files to a attachment_folder and gives a list of dict containing the id and the attachment name. Input is given as a list of filepaths as a first element of another list. For example: [[filepath1, filepath2, filepath3]].. . Arguments must be provided as a valid JSON object following this format: {\'files\': FieldInfo(annotation=list[list], required=True, description=\'\')}\nextract_data_tool: This is a wrapper for the MCP tool that extract data present in a file with the given object_id. Return the response obtained as json even if it is an error or not relevant.. . Arguments must be provided as a valid JSON object following this format: {\'object_id\': FieldInfo(annotation=str, required=True, description=\'\')}\ndd_add_memory_tool: Always call this tool to add every answer obtained by the agent to long term memory. \nThe input to this tool should be a string and in human-readable format.. . Arguments must be provided as a valid JSON object following this format: {\'conversation\': FieldInfo(annotation=Union[list[dict[str, str]], NoneType], required=False, default=None, description=\'List of conversation messages. Each message must have a ""role"" key (user or assistant. It must also have a ""content"" key.\'), \'tags\': FieldInfo(annotation=list[str], required=False, default_factory=list, description=\'List of tags applied to the item.\'), \'metadata\': FieldInfo(annotation=dict[str, Any], required=False, default={}, description=\'Metadata about the memory item.\'), \'user_id\': FieldInfo(annotation=str, required=True, description=""The user\'s ID.""), \'memory\': FieldInfo(annotation=Union[str, NoneType], required=False, default=None)}\ndd_get_memory_tool: Always call this tool before calling any other tools, even if the user does not mention to use it.\nUse this tool to get the existing memory of the user. It will be used to understand the context of the conversation.\nInput to this tool is a json object like {""query"": ""query"" , ""top_k"": 5, ""user_id"": ""12345""} where query is the input question asked by the user, top_k is the number of previous conversation response to be fetched and user_id is the unique id for each user in a single conversation.. . Arguments must be provided as a valid JSON object following this format: {\'query\': FieldInfo(annotation=str, required=True, description=\'Search query for which to retrieve memory.\'), \'top_k\': FieldInfo(annotation=int, required=True, description=\'Maximum number of memories to return\'), \'user_id\': FieldInfo(annotation=str, required=True, description=\'ID of the user to search for.\')}\ncompare_face_images_tool: This is a wrapper for the MCP tool that compares faces present in two images. It takes two inputs as object_id_1: str, object_id_2: str and return the response as a dict containing the similarity score and time taken to compare the images.. . Arguments must be provided as a valid JSON object following this format: {\'object_id_1\': FieldInfo(annotation=str, required=True, description=\'\'), \'object_id_2\': FieldInfo(annotation=str, required=True, description=\'\')}\ncompare_signature_images_tool: This is a wrapper for the MCP tool that compares signatures present in two images. It takes two inputs as object_id_1: str, object_id_2: str and return the response as a dict containing the similarity score and time taken to compare the images.. . Arguments must be provided as a valid JSON object following this format: {\'object_id_1\': FieldInfo(annotation=str, required=True, description=\'\'), \'object_id_2\': FieldInfo(annotation=str, required=True, description=\'\')}\nverify_sharecert_seal_llama4_tool: This is a wrapper for the MCP tool that verifies the sharecert seal using llama4 model. It takes one input as object_id_1: str and return the response as a dict.. . Arguments must be provided as a valid JSON object following this format: {\'object_id_1\': FieldInfo(annotation=str, required=True, description=\'\')}\nfetch_emails_tool: This is a wrapper for the MCP tool that fetches emails with a given email_id and password.. . Arguments must be provided as a valid JSON object following this format: {\'email_id\': FieldInfo(annotation=str, required=True, description=\'\'), \'password\': FieldInfo(annotation=str, required=True, description=\'\')}\ngenerate_email_tool: This is a wrapper for the MCP tool that generate required email from a provided json data.. . Arguments must be provided as a valid JSON object following this format: {\'json_inputs\': FieldInfo(annotation=str, required=True, description=\'\')}\nsend_email_tool: This is a wrapper for the MCP tool to send email to a receiver email. It takes subject and body as inputs.. . Arguments must be provided as a valid JSON object following this format: {\'subject\': FieldInfo(annotation=str, required=True, description=\'\'), \'body\': FieldInfo(annotation=str, required=True, description=\'\'), \'receiver_email\': FieldInfo(annotation=str, required=True, description=\'\')} to answer the questions in human-readable format. \nUse a unique id for each user_id in a single conversation.\nAlways use the tool {dd_get_memory_tool} to get previous conversation response of agent to understand the context of conversation before calling other tools.\nAlways use the tool {dd_add_memory_tool} as the last tool to add final answer obtained by the agent to long term memory. \nModify the input json to parse structured tool input from Action Input. Make the input of  {dd_add_memory_tool} in a human-readable format before adding to the memory if it is json. \n\nSkip using the tool {dd_add_memory_tool} if the Action Input is None or empty.\nUse appropriate tools in [get_attachment_id_by_name_tool,upload_files_tool,extract_data_tool,dd_add_memory_tool,dd_get_memory_tool,compare_face_images_tool,compare_signature_images_tool,verify_sharecert_seal_llama4_tool,fetch_emails_tool,generate_email_tool,send_email_tool] to answer the questions.\nAlways use the tool {get_attachment_id_by_name_tool} to get the attachment ObjectId for a given attachment_name.\nAlways check if the file is already uploaded before uploading it again.\nDo not upload the files again if they are already uploaded.\nUpload the files only if the user asks to upload files.\nOnly use the tool {extract_data_tool} to extract data from the files if the question is related to the data present in the files.\nUse {send_email_tool} to send email and {generate_email_tool} to prepare the content of emal.\n\nYou may respond in one of two formats.\nUse the following format exactly to communicate with an expert:\n\nQuestion: the input question you must answer\nThought: you should always think about what to do\nAction: the action to take, should be one of [get_attachment_id_by_name_tool,upload_files_tool,extract_data_tool,dd_add_memory_tool,dd_get_memory_tool,compare_face_images_tool,compare_signature_images_tool,verify_sharecert_seal_llama4_tool,fetch_emails_tool,generate_email_tool,send_email_tool]\nAction Input: the input to the action (if there is no required input, include ""Action Input: None"")\nObservation: wait for the expert to respond, do not assume the expert\'s response\n\n... (this Thought/Action/Action Input/Observation can repeat N times.)\nUse the following format once you have the final answer:\n\nThought: I now know the final answer\nFinal Answer: the final answer to the original input question\n', 'additional_kwargs': {}, 'response_metadata': {}, 'type': 'system', 'name': None, 'id': None}, {'content': '\nQuestion: Extract the name present in the file Rachel Davis.jpg\n', 'additional_kwargs': {}, 'response_metadata': {}, 'type': 'human', 'name': None, 'id': None, 'example': False}]",,,meta/llama-3.3-70b-instruct,,react_agent,a8a24845-5999-45bc-b26c-229e9f05b8f7,root,a8a24845-5999-45bc-b26c-229e9f05b8f7,ca4340cf-2916-407c-85b5-d42391bca284,langchain,react_agent,3.0,1375.734567642212,14666.319131851196,2628.0,15402.832746505737
LLM_NEW_TOKEN,1748370706.151703,0,1671,0,1671,,,,,,react_agent,a8a24845-5999-45bc-b26c-229e9f05b8f7,root,a8a24845-5999-45bc-b26c-229e9f05b8f7,ca4340cf-2916-407c-85b5-d42391bca284,langchain,react_agent,3.0,845.710277557373,14136.294841766357,,14872.808456420898
LLM_NEW_TOKEN,1748370706.152564,0,1671,1,1672,,,,,,react_agent,a8a24845-5999-45bc-b26c-229e9f05b8f7,root,a8a24845-5999-45bc-b26c-229e9f05b8f7,ca4340cf-2916-407c-85b5-d42391bca284,langchain,react_agent,3.0,844.8491096496582,14135.433673858643,,14871.947288513184
LLM_NEW_TOKEN,1748370706.1615,0,1671,2,1673,,,,,,react_agent,a8a24845-5999-45bc-b26c-229e9f05b8f7,root,a8a24845-5999-45bc-b26c-229e9f05b8f7,ca4340cf-2916-407c-85b5-d42391bca284,langchain,react_agent,3.0,835.9131813049316,14126.497745513916,,14863.011360168457
LLM_NEW_TOKEN,1748370706.1727335,0,1671,3,1674,,,,,,react_agent,a8a24845-5999-45bc-b26c-229e9f05b8f7,root,a8a24845-5999-45bc-b26c-229e9f05b8f7,ca4340cf-2916-407c-85b5-d42391bca284,langchain,react_agent,3.0,824.6796131134033,14115.264177322388,,14851.777791976929
LLM_NEW_TOKEN,1748370706.1839657,0,1671,4,1675,,,Thought:,,,react_agent,a8a24845-5999-45bc-b26c-229e9f05b8f7,root,a8a24845-5999-45bc-b26c-229e9f05b8f7,ca4340cf-2916-407c-85b5-d42391bca284,langchain,react_agent,3.0,813.4474754333496,14104.032039642334,,14840.545654296875
LLM_NEW_TOKEN,1748370706.1950645,0,1671,5,1676,,, To ,,,react_agent,a8a24845-5999-45bc-b26c-229e9f05b8f7,root,a8a24845-5999-45bc-b26c-229e9f05b8f7,ca4340cf-2916-407c-85b5-d42391bca284,langchain,react_agent,3.0,802.3486137390137,14092.933177947998,,14829.446792602539
LLM_NEW_TOKEN,1748370706.2052,0,1671,6,1677,,,extra,,,react_agent,a8a24845-5999-45bc-b26c-229e9f05b8f7,root,a8a24845-5999-45bc-b26c-229e9f05b8f7,ca4340cf-2916-407c-85b5-d42391bca284,langchain,react_agent,3.0,792.2132015228271,14082.797765731812,,14819.311380386353
LLM_NEW_TOKEN,1748370706.216317,0,1671,7,1678,,,ct the n,,,react_agent,a8a24845-5999-45bc-b26c-229e9f05b8f7,root,a8a24845-5999-45bc-b26c-229e9f05b8f7,ca4340cf-2916-407c-85b5-d42391bca284,langchain,react_agent,3.0,781.0962200164795,14071.680784225464,,14808.194398880005
